Summary,Signatures
Start a 1gbps fiber internet challenge to bring ultra high speed internet to the people,191
Express solidarity with the protesters in Bangladesh who are seeking justice for the war crimes of 1971.,256
Implore China to prevent Tibetan self-burning suicides by lifting suppression of Tibet’s cultural practices and religion,238
Consider a waiver or to increase the weight limit for &#039;ultralights&#039; under FAR103 so big &amp; tall pilots can fly them.,180
Classify the Cameron Crazies of Duke University as a terrorist organization.,230
"Stop using the &quot;wives, mothers, &amp; daughters&quot; rhetorical frame that defines women by their relationships to other people.","1,035"
"Fly the flag at half mast for the Navy SEAL and American hero, Chief Petty Officer Chris Kyle.","1,440"
Genetically engineered foods and animals should be banned from outdoor release because of lack of proper research.,548
Help our voice reach the International Olympic Committee to show the support for reinstating wrestling into the Olympics,"6,293"
to put an end to &quot;card services&quot; telephone scammers,436
To pressure the United States Olympic Committee to boycott the 2020 Olympics if wrestling isn&#039;t included as a sport.,"1,938"
Put pressure on the IOC to overturn their decision to drop wrestling from the Olympics in 2020,"19,804"
stop the policy that permits the BOD of residential co-ops or condos to deny housing without providing a reason to buyer,239
(Feb. #6 of 6) STOP GENOCIDE of WHITES! Invite Public to White House Screenings of &quot;How Whites Took Over America&quot;!,249
"(Feb. #2 of 6) Provide Federal Funds for the Million Name March on Washington, D.C. to STOP WHITE GENOCIDE!",205
(Feb. #3 of 6) Teach public school children the truth: ANTI-RACIST IS A CODE WORD FOR ANTI-WHITE!,222
(Feb. #4 out of 6)  Let White GeNOcide Project give the &quot;national conversation on race&quot; TWO sides: STOP WHITE GENOCIDE!,202
(Feb. #5 of 6) Award the Presidential Medal of Freedom to each Woman in the video &quot;STOP WHITE GENOCIDE&quot;!,187
(Feb. #1 of 6) STOP WHITE GENOCIDE! Halt MASSIVE third world immigration and FORCED assimilation in White countries!,213
To pass legislation to make all public officials subject to the laws without exemption.,865
